Ref_Date,Geography,Measure Type,Measure, Value 
2016/04,Alberta,Family Composition,Childless Couples Total,"2,568"
2016/04,Alberta,Family Composition,Couples with Children Total,"1,297"
2016/04,Alberta,Family Composition,All Types Total,"53,809"
2016/05,Alberta,Family Composition,Single Total,"47,090"
2016/05,Alberta,Family Composition,Single Parent Total,"2,991"
2016/05,Alberta,Family Composition,Childless Couples Total,"2,580"
2016/05,Alberta,Family Composition,Couples with Children Total,"1,307"
2016/05,Alberta,Family Composition,All Types Total,"53,968"
2016/06,Alberta,Family Composition,Single Total,"47,229"
2016/06,Alberta,Family Composition,Single Parent Total,"3,020"
2016/06,Alberta,Family Composition,Childless Couples Total,"2,592"
2016/06,Alberta,Family Composition,Couples with Children Total,"1,334"
2016/06,Alberta,Family Composition,All Types Total,"54,175"
2016/07,Alberta,Family Composition,Single Total,"47,431"
2016/07,Alberta,Family Composition,Single Parent Total,"3,025"
2016/07,Alberta,Family Composition,Childless Couples Total,"2,615"
2016/07,Alberta,Family Composition,Couples with Children Total,"1,337"
2016/07,Alberta,Family Composition,All Types Total,"54,408"
2016/08,Alberta,Family Composition,Single Total,"47,642"
2016/08,Alberta,Family Composition,Single Parent Total,"3,049"
2016/08,Alberta,Family Composition,Childless Couples Total,"2,594"
2016/08,Alberta,Family Composition,Couples with Children Total,"1,349"
2016/08,Alberta,Family Composition,All Types Total,"54,634"
2016/09,Alberta,Family Composition,Single Total,"47,780"
2016/09,Alberta,Family Composition,Single Parent Total,"3,080"
2016/09,Alberta,Family Composition,Childless Couples Total,"2,584"
2016/09,Alberta,Family Composition,Couples with Children Total,"1,357"
2016/09,Alberta,Family Composition,All Types Total,"54,801"
2016/10,Alberta,Family Composition,Single Total,"48,018"
2016/10,Alberta,Family Composition,Single Parent Total,"3,101"
2016/10,Alberta,Family Composition,Childless Couples Total,"2,597"
2016/10,Alberta,Family Composition,Couples with Children Total,"1,364"
2016/10,Alberta,Family Composition,All Types Total,"55,080"
2016/11,Alberta,Family Composition,Single Total,"48,295"
2016/11,Alberta,Family Composition,Single Parent Total,"3,127"
2016/11,Alberta,Family Composition,Childless Couples Total,"2,617"
2016/11,Alberta,Family Composition,Couples with Children Total,"1,374"
2016/11,Alberta,Family Composition,All Types Total,"55,413"
2016/12,Alberta,Family Composition,Single Total,"48,508"
2016/12,Alberta,Family Composition,Single Parent Total,"3,139"
2016/12,Alberta,Family Composition,Childless Couples Total,"2,636"
2016/12,Alberta,Family Composition,Couples with Children Total,"1,382"
2016/12,Alberta,Family Composition,All Types Total,"55,665"
2017/01,Alberta,Family Composition,Single Total,"48,854"
2017/01,Alberta,Family Composition,Single Parent Total,"3,165"
2017/01,Alberta,Family Composition,Childless Couples Total,"2,667"
2017/01,Alberta,Family Composition,Couples with Children Total,"1,395"
2017/01,Alberta,Family Composition,All Types Total,"56,081"
2017/02,Alberta,Family Composition,Single Total,"49,124"
2017/02,Alberta,Family Composition,Single Parent Total,"3,197"
2017/02,Alberta,Family Composition,Childless Couples Total,"2,692"
2017/02,Alberta,Family Composition,Couples with Children Total,"1,413"
2017/02,Alberta,Family Composition,All Types Total,"56,426"
2017/03,Alberta,Family Composition,Single Total,"49,575"
2017/03,Alberta,Family Composition,Single Parent Total,"3,251"
2017/03,Alberta,Family Composition,Childless Couples Total,"2,746"
2017/03,Alberta,Family Composition,Couples with Children Total,"1,440"
2017/03,Alberta,Family Composition,All Types Total,"57,012"
2017/04,Alberta,Family Composition,Single Total,"49,844"
2017/04,Alberta,Family Composition,Single Parent Total,"3,287"
2017/04,Alberta,Family Composition,Childless Couples Total,"2,752"
2017/04,Alberta,Family Composition,Couples with Children Total,"1,444"
2017/04,Alberta,Family Composition,All Types Total,"57,327"
2017/04,Alberta,AISH Client Caseload,Straight AISH,"55,086"
2017/04,Alberta,AISH Client Caseload,Modified AISH,"2,058"
2017/04,Alberta,AISH Client Caseload,Com. Residence,183
2017/04,Alberta,AISH Client Caseload,Client Caseload Total,"57,327"
2017/04,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"25,563"
2017/04,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"17,618"
2017/04,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,119"
2017/04,Alberta,AISH Client Primary Medical Condition,Unknown,27
2017/04,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"57,327"
2017/04,Alberta,AISH Client Average Age,Age 18 - 19,"1,460"
2017/04,Alberta,AISH Client Average Age,Age 20 - 24,"5,087"
2017/04,Alberta,AISH Client Average Age,Age 25 - 29,"5,245"
2017/04,Alberta,AISH Client Average Age,Age 30 - 34,"4,978"
2017/04,Alberta,AISH Client Average Age,Age 35 - 39,"4,834"
2017/04,Alberta,AISH Client Average Age,Age 40 - 44,"4,704"
2017/04,Alberta,AISH Client Average Age,Age 45 - 49,"5,610"
2017/04,Alberta,AISH Client Average Age,Age 50 - 54,"7,596"
2017/04,Alberta,AISH Client Average Age,Age 55 - 59,"8,839"
2017/04,Alberta,AISH Client Average Age,Age 60 - 64,"8,418"
2017/04,Alberta,AISH Client Average Age,Age 65 +,556
2017/04,Alberta,AISH Client Average Age,All Ages Total,"57,327"
2017/04,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,775"
2017/04,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"12,756"
2017/05,Alberta,Family Composition,Single Total,"50,155"
2017/05,Alberta,Family Composition,Single Parent Total,"3,319"
2017/05,Alberta,Family Composition,Childless Couples Total,"2,791"
2017/05,Alberta,Family Composition,Couples with Children Total,"1,450"
2017/05,Alberta,Family Composition,All Types Total,"57,715"
2017/05,Alberta,AISH Client Caseload,Straight AISH,"55,452"
2017/05,Alberta,AISH Client Caseload,Modified AISH,"2,080"
2017/05,Alberta,AISH Client Caseload,Com. Residence,183
2017/05,Alberta,AISH Client Caseload,Client Caseload Total,"57,715"
2017/05,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"25,736"
2017/05,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"17,744"
2017/05,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,209"
2017/05,Alberta,AISH Client Primary Medical Condition,Unknown,26
2017/05,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"57,715"
2017/05,Alberta,AISH Client Average Age,Age 18 - 19,"1,446"
2017/05,Alberta,AISH Client Average Age,Age 20 - 24,"5,139"
2017/05,Alberta,AISH Client Average Age,Age 25 - 29,"5,282"
2017/05,Alberta,AISH Client Average Age,Age 30 - 34,"5,009"
2017/05,Alberta,AISH Client Average Age,Age 35 - 39,"4,880"
2017/05,Alberta,AISH Client Average Age,Age 40 - 44,"4,749"
2017/05,Alberta,AISH Client Average Age,Age 45 - 49,"5,601"
2017/05,Alberta,AISH Client Average Age,Age 50 - 54,"7,618"
2017/05,Alberta,AISH Client Average Age,Age 55 - 59,"8,916"
2017/05,Alberta,AISH Client Average Age,Age 60 - 64,"8,507"
2017/05,Alberta,AISH Client Average Age,Age 65 +,568
2017/05,Alberta,AISH Client Average Age,All Ages Total,"57,715"
2017/05,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,255"
2017/05,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"12,801"
2017/06,Alberta,Family Composition,Single Total,"50,366"
2017/06,Alberta,Family Composition,Single Parent Total,"3,332"
2017/06,Alberta,Family Composition,Childless Couples Total,"2,795"
2017/06,Alberta,Family Composition,Couples with Children Total,"1,476"
2017/06,Alberta,Family Composition,All Types Total,"57,969"
2017/06,Alberta,AISH Client Caseload,Straight AISH,"55,705"
2017/06,Alberta,AISH Client Caseload,Modified AISH,"2,081"
2017/06,Alberta,AISH Client Caseload,Com. Residence,183
2017/06,Alberta,AISH Client Caseload,Client Caseload Total,"57,969"
2017/06,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"25,848"
2017/06,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"17,807"
2017/06,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,289"
2017/06,Alberta,AISH Client Primary Medical Condition,Unknown,25
2017/06,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"57,969"
2017/06,Alberta,AISH Client Average Age,Age 18 - 19,"1,443"
2017/06,Alberta,AISH Client Average Age,Age 20 - 24,"5,187"
2017/06,Alberta,AISH Client Average Age,Age 25 - 29,"5,319"
2017/06,Alberta,AISH Client Average Age,Age 30 - 34,"5,026"
2017/06,Alberta,AISH Client Average Age,Age 35 - 39,"4,933"
2017/06,Alberta,AISH Client Average Age,Age 40 - 44,"4,760"
2017/06,Alberta,AISH Client Average Age,Age 45 - 49,"5,610"
2017/06,Alberta,AISH Client Average Age,Age 50 - 54,"7,620"
2017/06,Alberta,AISH Client Average Age,Age 55 - 59,"8,979"
2017/06,Alberta,AISH Client Average Age,Age 60 - 64,"8,555"
2017/06,Alberta,AISH Client Average Age,Age 65 +,537
2017/06,Alberta,AISH Client Average Age,All Ages Total,"57,969"
2017/06,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,280"
2017/06,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"12,917"
2017/07,Alberta,Family Composition,Single Total,"50,577"
2017/07,Alberta,Family Composition,Single Parent Total,"3,319"
2017/07,Alberta,Family Composition,Childless Couples Total,"2,792"
2017/07,Alberta,Family Composition,Couples with Children Total,"1,487"
2017/07,Alberta,Family Composition,All Types Total,"58,175"
2017/07,Alberta,AISH Client Caseload,Straight AISH,"55,901"
2017/07,Alberta,AISH Client Caseload,Modified AISH,"2,092"
2017/07,Alberta,AISH Client Caseload,Com. Residence,182
2017/07,Alberta,AISH Client Caseload,Client Caseload Total,"58,175"
2017/07,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"25,908"
2017/07,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"17,882"
2017/07,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,358"
2017/07,Alberta,AISH Client Primary Medical Condition,Unknown,27
2017/07,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"58,175"
2017/07,Alberta,AISH Client Average Age,Age 18 - 19,"1,452"
2017/07,Alberta,AISH Client Average Age,Age 20 - 24,"5,191"
2017/07,Alberta,AISH Client Average Age,Age 25 - 29,"5,369"
2017/07,Alberta,AISH Client Average Age,Age 30 - 34,"5,047"
2017/07,Alberta,AISH Client Average Age,Age 35 - 39,"4,946"
2017/07,Alberta,AISH Client Average Age,Age 40 - 44,"4,790"
2017/07,Alberta,AISH Client Average Age,Age 45 - 49,"5,628"
2017/07,Alberta,AISH Client Average Age,Age 50 - 54,"7,618"
2017/07,Alberta,AISH Client Average Age,Age 55 - 59,"9,044"
2017/07,Alberta,AISH Client Average Age,Age 60 - 64,"8,576"
2017/07,Alberta,AISH Client Average Age,Age 65 +,514
2017/07,Alberta,AISH Client Average Age,All Ages Total,"58,175"
2017/07,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,372"
2017/07,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,070"
2017/08,Alberta,Family Composition,Single Total,"50,816"
2017/08,Alberta,Family Composition,Single Parent Total,"3,340"
2017/08,Alberta,Family Composition,Childless Couples Total,"2,813"
2017/08,Alberta,Family Composition,Couples with Children Total,"1,492"
2017/08,Alberta,Family Composition,All Types Total,"58,461"
2017/08,Alberta,AISH Client Caseload,Straight AISH,"56,173"
2017/08,Alberta,AISH Client Caseload,Modified AISH,"2,107"
2017/08,Alberta,AISH Client Caseload,Com. Residence,181
2017/08,Alberta,AISH Client Caseload,Client Caseload Total,"58,461"
2017/08,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,012"
2017/08,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"17,932"
2017/08,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,489"
2017/08,Alberta,AISH Client Primary Medical Condition,Unknown,28
2017/08,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"58,461"
2017/08,Alberta,AISH Client Average Age,Age 18 - 19,"1,477"
2017/08,Alberta,AISH Client Average Age,Age 20 - 24,"5,227"
2017/08,Alberta,AISH Client Average Age,Age 25 - 29,"5,392"
2017/08,Alberta,AISH Client Average Age,Age 30 - 34,"5,056"
2017/08,Alberta,AISH Client Average Age,Age 35 - 39,"4,985"
2017/08,Alberta,AISH Client Average Age,Age 40 - 44,"4,847"
2017/08,Alberta,AISH Client Average Age,Age 45 - 49,"5,610"
2017/08,Alberta,AISH Client Average Age,Age 50 - 54,"7,613"
2017/08,Alberta,AISH Client Average Age,Age 55 - 59,"9,107"
2017/08,Alberta,AISH Client Average Age,Age 60 - 64,"8,607"
2017/08,Alberta,AISH Client Average Age,Age 65 +,540
2017/08,Alberta,AISH Client Average Age,All Ages Total,"58,461"
2017/08,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,448"
2017/08,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,174"
2017/09,Alberta,Family Composition,Single Total,"51,040"
2017/09,Alberta,Family Composition,Single Parent Total,"3,351"
2017/09,Alberta,Family Composition,Childless Couples Total,"2,822"
2017/09,Alberta,Family Composition,Couples with Children Total,"1,513"
2017/09,Alberta,Family Composition,All Types Total,"58,726"
2017/09,Alberta,AISH Client Caseload,Straight AISH,"56,453"
2017/09,Alberta,AISH Client Caseload,Modified AISH,"2,094"
2017/09,Alberta,AISH Client Caseload,Com. Residence,179
2017/09,Alberta,AISH Client Caseload,Client Caseload Total,"58,726"
2017/09,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,091"
2017/09,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,007"
2017/09,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,600"
2017/09,Alberta,AISH Client Primary Medical Condition,Unknown,28
2017/09,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"58,726"
2017/09,Alberta,AISH Client Average Age,Age 18 - 19,"1,494"
2017/09,Alberta,AISH Client Average Age,Age 20 - 24,"5,260"
2017/09,Alberta,AISH Client Average Age,Age 25 - 29,"5,395"
2017/09,Alberta,AISH Client Average Age,Age 30 - 34,"5,085"
2017/09,Alberta,AISH Client Average Age,Age 35 - 39,"5,036"
2017/09,Alberta,AISH Client Average Age,Age 40 - 44,"4,853"
2017/09,Alberta,AISH Client Average Age,Age 45 - 49,"5,636"
2017/09,Alberta,AISH Client Average Age,Age 50 - 54,"7,615"
2017/09,Alberta,AISH Client Average Age,Age 55 - 59,"9,159"
2017/09,Alberta,AISH Client Average Age,Age 60 - 64,"8,614"
2017/09,Alberta,AISH Client Average Age,Age 65 +,579
2017/09,Alberta,AISH Client Average Age,All Ages Total,"58,726"
2017/09,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,841"
2017/09,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,246"
2017/10,Alberta,Family Composition,Single Total,"51,261"
2017/10,Alberta,Family Composition,Single Parent Total,"3,362"
2017/10,Alberta,Family Composition,Childless Couples Total,"2,825"
2017/10,Alberta,Family Composition,Couples with Children Total,"1,520"
2017/10,Alberta,Family Composition,All Types Total,"58,968"
2017/10,Alberta,AISH Client Caseload,Straight AISH,"56,699"
2017/10,Alberta,AISH Client Caseload,Modified AISH,"2,090"
2017/10,Alberta,AISH Client Caseload,Com. Residence,179
2017/10,Alberta,AISH Client Caseload,Client Caseload Total,"58,968"
2017/10,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,220"
2017/10,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,048"
2017/10,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,673"
2017/10,Alberta,AISH Client Primary Medical Condition,Unknown,27
2017/10,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"58,968"
2017/10,Alberta,AISH Client Average Age,Age 18 - 19,"1,497"
2017/10,Alberta,AISH Client Average Age,Age 20 - 24,"5,291"
2017/10,Alberta,AISH Client Average Age,Age 25 - 29,"5,419"
2017/10,Alberta,AISH Client Average Age,Age 30 - 34,"5,106"
2017/10,Alberta,AISH Client Average Age,Age 35 - 39,"5,059"
2017/10,Alberta,AISH Client Average Age,Age 40 - 44,"4,872"
2017/10,Alberta,AISH Client Average Age,Age 45 - 49,"5,659"
2017/10,Alberta,AISH Client Average Age,Age 50 - 54,"7,592"
2017/10,Alberta,AISH Client Average Age,Age 55 - 59,"9,238"
2017/10,Alberta,AISH Client Average Age,Age 60 - 64,"8,671"
2017/10,Alberta,AISH Client Average Age,Age 65 +,564
2017/10,Alberta,AISH Client Average Age,All Ages Total,"58,968"
2017/10,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,842"
2017/10,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,258"
2017/11,Alberta,Family Composition,Single Total,"51,422"
2017/11,Alberta,Family Composition,Single Parent Total,"3,375"
2017/11,Alberta,Family Composition,Childless Couples Total,"2,854"
2017/11,Alberta,Family Composition,Couples with Children Total,"1,533"
2017/11,Alberta,Family Composition,All Types Total,"59,184"
2017/11,Alberta,AISH Client Caseload,Straight AISH,"56,905"
2017/11,Alberta,AISH Client Caseload,Modified AISH,"2,099"
2017/11,Alberta,AISH Client Caseload,Com. Residence,180
2017/11,Alberta,AISH Client Caseload,Client Caseload Total,"59,184"
2017/11,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,286"
2017/11,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,107"
2017/11,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,770"
2017/11,Alberta,AISH Client Primary Medical Condition,Unknown,21
2017/11,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"59,184"
2017/11,Alberta,AISH Client Average Age,Age 18 - 19,"1,495"
2017/11,Alberta,AISH Client Average Age,Age 20 - 24,"5,336"
2017/11,Alberta,AISH Client Average Age,Age 25 - 29,"5,441"
2017/11,Alberta,AISH Client Average Age,Age 30 - 34,"5,167"
2017/11,Alberta,AISH Client Average Age,Age 35 - 39,"5,089"
2017/11,Alberta,AISH Client Average Age,Age 40 - 44,"4,874"
2017/11,Alberta,AISH Client Average Age,Age 45 - 49,"5,673"
2017/11,Alberta,AISH Client Average Age,Age 50 - 54,"7,592"
2017/11,Alberta,AISH Client Average Age,Age 55 - 59,"9,254"
2017/11,Alberta,AISH Client Average Age,Age 60 - 64,"8,738"
2017/11,Alberta,AISH Client Average Age,Age 65 +,525
2017/11,Alberta,AISH Client Average Age,All Ages Total,"59,184"
2017/11,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,061"
2017/11,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,426"
2017/12,Alberta,Family Composition,Single Total,"51,567"
2017/12,Alberta,Family Composition,Single Parent Total,"3,382"
2017/12,Alberta,Family Composition,Childless Couples Total,"2,821"
2017/12,Alberta,Family Composition,Couples with Children Total,"1,540"
2017/12,Alberta,Family Composition,All Types Total,"59,310"
2017/12,Alberta,AISH Client Caseload,Straight AISH,"57,024"
2017/12,Alberta,AISH Client Caseload,Modified AISH,"2,109"
2017/12,Alberta,AISH Client Caseload,Com. Residence,177
2017/12,Alberta,AISH Client Caseload,Client Caseload Total,"59,310"
2017/12,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,323"
2017/12,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,142"
2017/12,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,828"
2017/12,Alberta,AISH Client Primary Medical Condition,Unknown,17
2017/12,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"59,310"
2017/12,Alberta,AISH Client Average Age,Age 18 - 19,"1,486"
2017/12,Alberta,AISH Client Average Age,Age 20 - 24,"5,339"
2017/12,Alberta,AISH Client Average Age,Age 25 - 29,"5,456"
2017/12,Alberta,AISH Client Average Age,Age 30 - 34,"5,186"
2017/12,Alberta,AISH Client Average Age,Age 35 - 39,"5,143"
2017/12,Alberta,AISH Client Average Age,Age 40 - 44,"4,883"
2017/12,Alberta,AISH Client Average Age,Age 45 - 49,"5,670"
2017/12,Alberta,AISH Client Average Age,Age 50 - 54,"7,581"
2017/12,Alberta,AISH Client Average Age,Age 55 - 59,"9,273"
2017/12,Alberta,AISH Client Average Age,Age 60 - 64,"8,766"
2017/12,Alberta,AISH Client Average Age,Age 65 +,527
2017/12,Alberta,AISH Client Average Age,All Ages Total,"59,310"
2017/12,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,002"
2017/12,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,272"
2018/01,Alberta,Family Composition,Single Total,"51,925"
2018/01,Alberta,Family Composition,Single Parent Total,"3,413"
2018/01,Alberta,Family Composition,Childless Couples Total,"2,859"
2018/01,Alberta,Family Composition,Couples with Children Total,"1,553"
2018/01,Alberta,Family Composition,All Types Total,"59,750"
2018/01,Alberta,AISH Client Caseload,Straight AISH,"57,461"
2018/01,Alberta,AISH Client Caseload,Modified AISH,"2,114"
2018/01,Alberta,AISH Client Caseload,Com. Residence,175
2018/01,Alberta,AISH Client Caseload,Client Caseload Total,"59,750"
2018/01,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,510"
2018/01,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,259"
2018/01,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"14,965"
2018/01,Alberta,AISH Client Primary Medical Condition,Unknown,16
2018/01,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"59,750"
2018/01,Alberta,AISH Client Average Age,Age 18 - 19,"1,496"
2018/01,Alberta,AISH Client Average Age,Age 20 - 24,"5,396"
2018/01,Alberta,AISH Client Average Age,Age 25 - 29,"5,489"
2018/01,Alberta,AISH Client Average Age,Age 30 - 34,"5,237"
2018/01,Alberta,AISH Client Average Age,Age 35 - 39,"5,192"
2018/01,Alberta,AISH Client Average Age,Age 40 - 44,"4,921"
2018/01,Alberta,AISH Client Average Age,Age 45 - 49,"5,687"
2018/01,Alberta,AISH Client Average Age,Age 50 - 54,"7,606"
2018/01,Alberta,AISH Client Average Age,Age 55 - 59,"9,337"
2018/01,Alberta,AISH Client Average Age,Age 60 - 64,"8,808"
2018/01,Alberta,AISH Client Average Age,Age 65 +,581
2018/01,Alberta,AISH Client Average Age,All Ages Total,"59,750"
2018/01,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,080"
2018/01,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,602"
2018/02,Alberta,Family Composition,Single Total,"51,988"
2018/02,Alberta,Family Composition,Single Parent Total,"3,429"
2018/02,Alberta,Family Composition,Childless Couples Total,"2,848"
2018/02,Alberta,Family Composition,Couples with Children Total,"1,558"
2018/02,Alberta,Family Composition,All Types Total,"59,823"
2018/02,Alberta,AISH Client Caseload,Straight AISH,"57,549"
2018/02,Alberta,AISH Client Caseload,Modified AISH,"2,101"
2018/02,Alberta,AISH Client Caseload,Com. Residence,173
2018/02,Alberta,AISH Client Caseload,Client Caseload Total,"59,823"
2018/02,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,505"
2018/02,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,262"
2018/02,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,039"
2018/02,Alberta,AISH Client Primary Medical Condition,Unknown,17
2018/02,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"59,823"
2018/02,Alberta,AISH Client Average Age,Age 18 - 19,"1,483"
2018/02,Alberta,AISH Client Average Age,Age 20 - 24,"5,413"
2018/02,Alberta,AISH Client Average Age,Age 25 - 29,"5,505"
2018/02,Alberta,AISH Client Average Age,Age 30 - 34,"5,255"
2018/02,Alberta,AISH Client Average Age,Age 35 - 39,"5,230"
2018/02,Alberta,AISH Client Average Age,Age 40 - 44,"4,915"
2018/02,Alberta,AISH Client Average Age,Age 45 - 49,"5,716"
2018/02,Alberta,AISH Client Average Age,Age 50 - 54,"7,541"
2018/02,Alberta,AISH Client Average Age,Age 55 - 59,"9,356"
2018/02,Alberta,AISH Client Average Age,Age 60 - 64,"8,856"
2018/02,Alberta,AISH Client Average Age,Age 65 +,553
2018/02,Alberta,AISH Client Average Age,All Ages Total,"59,823"
2018/02,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,068"
2018/02,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,579"
2018/03,Alberta,Family Composition,Single Total,"52,151"
2018/03,Alberta,Family Composition,Single Parent Total,"3,448"
2018/03,Alberta,Family Composition,Childless Couples Total,"2,867"
2018/03,Alberta,Family Composition,Couples with Children Total,"1,561"
2018/03,Alberta,Family Composition,All Types Total,"60,027"
2018/03,Alberta,AISH Client Caseload,Straight AISH,"57,761"
2018/03,Alberta,AISH Client Caseload,Modified AISH,"2,095"
2018/03,Alberta,AISH Client Caseload,Com. Residence,171
2018/03,Alberta,AISH Client Caseload,Client Caseload Total,"60,027"
2018/03,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,575"
2018/03,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,291"
2018/03,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,145"
2018/03,Alberta,AISH Client Primary Medical Condition,Unknown,16
2018/03,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"60,027"
2018/03,Alberta,AISH Client Average Age,Age 18 - 19,"1,503"
2018/03,Alberta,AISH Client Average Age,Age 20 - 24,"5,408"
2018/03,Alberta,AISH Client Average Age,Age 25 - 29,"5,534"
2018/03,Alberta,AISH Client Average Age,Age 30 - 34,"5,265"
2018/03,Alberta,AISH Client Average Age,Age 35 - 39,"5,229"
2018/03,Alberta,AISH Client Average Age,Age 40 - 44,"4,941"
2018/03,Alberta,AISH Client Average Age,Age 45 - 49,"5,744"
2018/03,Alberta,AISH Client Average Age,Age 50 - 54,"7,524"
2018/03,Alberta,AISH Client Average Age,Age 55 - 59,"9,412"
2018/03,Alberta,AISH Client Average Age,Age 60 - 64,"8,895"
2018/03,Alberta,AISH Client Average Age,Age 65 +,572
2018/03,Alberta,AISH Client Average Age,All Ages Total,"60,027"
2018/03,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,028"
2018/03,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,675"
2018/04,Alberta,Family Composition,Single Total,"52,319"
2018/04,Alberta,Family Composition,Single Parent Total,"3,460"
2018/04,Alberta,Family Composition,Childless Couples Total,"2,871"
2018/04,Alberta,Family Composition,Couples with Children Total,"1,563"
2018/04,Alberta,Family Composition,All Types Total,"60,213"
2018/04,Alberta,AISH Client Caseload,Straight AISH,"57,934"
2018/04,Alberta,AISH Client Caseload,Modified AISH,"2,106"
2018/04,Alberta,AISH Client Caseload,Com. Residence,173
2018/04,Alberta,AISH Client Caseload,Client Caseload Total,"60,213"
2018/04,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,620"
2018/04,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,335"
2018/04,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,240"
2018/04,Alberta,AISH Client Primary Medical Condition,Unknown,18
2018/04,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"60,213"
2018/04,Alberta,AISH Client Average Age,Age 18 - 19,"1,494"
2018/04,Alberta,AISH Client Average Age,Age 20 - 24,"5,437"
2018/04,Alberta,AISH Client Average Age,Age 25 - 29,"5,583"
2018/04,Alberta,AISH Client Average Age,Age 30 - 34,"5,273"
2018/04,Alberta,AISH Client Average Age,Age 35 - 39,"5,230"
2018/04,Alberta,AISH Client Average Age,Age 40 - 44,"4,976"
2018/04,Alberta,AISH Client Average Age,Age 45 - 49,"5,748"
